date,message
2022-05-26," Тактический флот рф в чёрном море ведёт переговоры. Продолжаем наблюдать.  Запуски РСЗО по Николаеву со стороны Херсона! Информация уточняется.  В Очакове сообщают о взрывах. Пролёт в Западные области. Возможны удары по Львовской области, жд-инфраструктуре. Запуск ракет из акватории Черного моря.  Сейчас запуск ракет произведён на средние дистанции. Восток и Юг. Возможны повторные запуски Ту-95мс из Каспия, с тревогами во всех областях.  Сообщения о том, что ЗСУ усиливают Северодонецко-Лисичанский участок, а не уходят из него. Судя по всему, командование не считает ситуацию безвыходной и предпочитает продолжать попытки измотать силы рф городскими боями.  Активность стратегической авиации рф. Вероятны тревоги по стране в течение следующих 1,5 часов. Сообщения о том, что российское командование претерпело очередную перестановку — теперь командующим военными действиями в Украине, вместо Дворникова, назначен генерал-полковник Геннадий Жидко.  Он так же, когда-то командовал операциями в Сирии.  Харьков под обстрелами.  Запуск ракет дальней авиацией рф. Центр + Восток. Запуск ракет из района Донецкой области дальней авиацией рф."
2022-05-27," Силы ЗСУ продвинулись на 9км до Брускинского, Херсонской области, где сейчас происходят бои. Западная Украина — угроза ракетного удара.  Уточнение: Это всё те же ракеты с Каспия, а не новый запуск из Беларуси, как заверяют некоторые каналы.  Вылет Ту-95мс из аэропорта Энгельс-2. Вероятны запуски ракет из района Каспийского моря в течение следующих 2 часов. За сьогодні збито ворожої авіації: Су-35, Су-25, Ка-52 та два гелікоптери.  На Волинському та Поліському напрямках до семи батальйонів збройних сил республіки білорусь продовжують посилювати ділянки українсько-білоруського кордону. Зберігається загроза ракетних та авіаційних ударів з території цієї країни. — Генштаб ЗСУ  Сообщения о танковом прорыве ЗСУ через речку Ингулец, Херсонской области. Взлёт авиации с территории Беларуси — Гаюн  Активность стратегической авиации рф. Вероятны тревоги по стране в течение следующих 2 часов. Канадские военные передали ЗСУ прицепные 155-мм гаубицы М777 - Генштаб  На данный момент запуск ракет из акватории Черного моря с продвижением в сторону Киева.  UPD. Сообщают о 4 истребителях, вылетевших из Крыма в направлении Херсона. Вероятно запуск был произведён авиацией."
2022-05-28," ЗСУ проводят контрнаступление в Херсонской области через реку Ингулец по направлениям Белогорки, Лозового и Андреевки, а также к юго-востоку от Давыдова Брода. Сообщают об ожесточенных боях.  Сообщают о сбитии одной из ракет в Винницкой области.  Угроза попадания по западным областям остаётся! Возможен долёт до западных областей.  Взрывы в Кривом Роге.  Запуск ракет авиацией из района Донецкой области.  UPD. Вероятно группа Ту-22м3, ракеты Х-22.  рф продолжает укреплять оборону на острове Змеиный. Всего к 28 мая насчитывается 14 единиц техники.  Также видна баржа у причала, с помощью которой техника возиться из Севастополя.  Сообщения о тяжёлых, но успешных боях на севере Харьковской области. Администрация Байдена одобрила отправку в Украину реактивных систем залпового огня большой дальности (M142 или M270 MLRS), заявили официальные лица США 28 мая.  Хотя нет подробностей о том, какие именно типы ракет будут предоставлены США, Пентагон чаще всего использует M31 GMLRS — высокоточное оружие дальностью до 70 км — The New York Times  Запуск ракет авиацией из района Донецкой области.  UPD. Восток + Юг. Обстрелы Сумской и Харьковской областей Искандерами. Предварительно с территории Белгородской области."
2022-05-29,"Повторный запуск ракет дальней авиацией рф.  Активные радио-коммуникации флота рф в Чёрном море. Продолжаем следить. Запуск ракет дальней авиацией рф.  UPD. Вероятно Ту-22м3 из Херсонской области.  Карта Северодонецка: Русские захватили некоторые районы северо-востока города, в частности, гостиницу «Мир» и автовокзал. Есть продвижения врага в части восточной окраине города. Судьба Метёлкино неизвестна. ЗСУ держат оборону Северодонецка, сообщения о захвате города ложны.  Сообщают о взрывах в центре Харькова. Запуск ракет дальней авиацией рф.  Тревоги в центральных областях. Николаев под обстрелами РСЗО из Херсонской области."
2022-05-30," Видео наступления ЗСУ в районе Давыдова Брода, Херсонской области.  Взрывы в Очакове.  Помічено переміщення комплексів ОТРК Іскандер у Білгородській області.  Активные радио-коммуникации авиации рф. Аэродром Шайковка — место базирования дальних бомбардировщиков Ту-22м3.  Динаміка зміни положення супротивника між Гуляйполем та Великою Новосілкою з 2 травня до сьогодні. — Nathan Ruser  В ходе удачного наступления подразделений Сил обороны враг понес потери и отошел из населенного пункта Николаевка Херсонской области, что привело к паническим настроениям среди военнослужащих других подразделений вооруженных сил рф. — Генштаб Донецька область — витік аміаку! У потенційній зоні ураження — Кодема, Гладосове, Семигір’я, Дача, Миколаївка Друга і Доломітне. 02:56 Запуск ракет из района Каспийского моря.  UPD. Тревоги: Восток, Центр, Юг.  UPD. Взрывы в Одесской области.  Активность стратегической авиации рф. Вероятны тревоги по стране в течение следующих 2 часов.  UPD. Взлёт Ту-95мс из аэропорта Энгельс. Попытка наступления русских в Сумской области сейчас.  Примечание: Полноценного наступления ждать не стоит, будут оттягивать силы от горячих точек Востока.  Сейчас и далее опасность обстрелов Искандерами Харьковская, Сумская области.  UPD. Тревоги в Сумская, Полтавская, Черкасская, Кировоградская областях."
2022-05-31," На данный момент на аэродроме Шайковка дислоцируются 8 дальних бомбардировщиков Ту-22м3. 2 единицы находятся на техническом обслуживании. 05:02 Запуск ракет авиацией из района Донецкой области. Лідери країн-членів ЄС погодили шостий пакет санкцій проти Росії, повідомив голова Євроради Шарль Мішель.   За його словами, погоджений санкційний пакет передбачає: — обмеження на понад дві треті імпорту нафти з Росії, що ""відрізає суттєве джерело фінансування її воєнної машини""; — відключення найбільшого російського банку — ""Сбербанка"" від SWIFT; — блокування трансляції трьох державних мовників Росії в ЄС; — розширення списку російських підсанкційних осіб, відповідальних за воєнні злочини в Україні. Фотография боевой части сбитой сверхзвуковой ракеты Х-22, выпущенной российским бомбардировщиком Ту-22м3 по объекту в Одесской области ночью 30 мая — Повітряні сили ЗСУ  Сумська та Полтавська області під обстрілами."
2022-06-01,"Сейчас и далее опасность обстрелов Искандерами Харьковская, Сумская, Полтавская области.  UPD. Взрывы в Харькове. Администрация Байдена планирует продать Украине четыре беспилотника MQ-1C Grey Eagle, которые могут быть вооружены ракетами Hellfire для использования на поле боя против России — Reuters  Это высокотехнологичный дрон, с запасом полёта на 30 часов, способный нести как высокоточные ракеты класса ""воздух-земля"" так и уже привычные ракеты от Байрактаров MAM-L.  Сделка должна будет пройти согласование в Конгрессе США и может быть не одобрена. Взрывы во Львовской области. Cбитие ракет Киевским ПВО. Видео с запуском восьми ракет в 20:50.  Сообщают о ракетном ударе в Киевской области. Вероятны удары по западным областям.  Не игнорируйте сигналы тревоги.  Запуск ракет из акватории Черного моря.  UPD. Пуск 8 ракет ""Калибр"" с ракетного катера.  Ситуация на Ближнем востоке:  Израильские ВВС провели крупномасштабные учения, с участием около сотни истребителей, имитирующие удары по Ирану.  По Сумской области было выпущено 6 ракет — Глава ОВА  Президент Турции Эрдоган объявил о начале проведения военной операции по ""освобождению 30-километровой зоны на севере Сирии"" Запуск ракет дальней авиацией рф с Юго-Востока. Тревоги могут быть во всей стране. Николаев, угроза артобстрела.  Сбитие ракеты в Одесской области. Запуск ракет авиацией рф из района Донецкой области. Возможны тревоги в центральных и западных областях.  UPD. Тревоги Восток+Юг.  Теперь официально — США передаст технику, в том числе системы HIMARS (M142 со снарядами M30) на сумму в $700 млн. Преимущество таких систем в быстрой скорости перезарядки, цифровой системе наведения огня, мобильности."
2022-06-02," Активность авиации в Крыму. Возможны тревоги на Юге и Центральных областях в ближайшее время. Звуки взрывов были в Одессе и Николаеве. С большой долей вероятности в обоих случаях были сбития ПВО. 05:43 Повторный запуск 04:17 Запуск ракет стратегической авиацией, вероятно группа Ту-22м3  Активность стратегической авиации рф. Вероятны тревоги по стране в течение следующих 2 часов."
2022-06-03," В Харьковской области ответный огонь РСЗО по вражеским позициям.  Львовская, Волынская области попадают под траекторию ракет.  UPD. Работа ПВО во Львовской области. Угроза попадания по западным областям. Повторный запуск.  Два сбития силами ПВО в Николаевской области. Сообщения, про запуск ракет Калибр флотом. Запуск ракет из акватории Черного моря. Запуск ракет из акватории Черного моря. Запуск ракет из акватории Каспийского моря."
2022-06-04,"Часть ракет первого запуска была сбита в южных и центральных областях. Пролёт ракет был зафиксирован на Юге Киевской и Винницкой областей.  Повторный запуск по тем же направлениям. Повторный запуск.  Сообщают о ракете над Винницкой областью. Угроза попадания по западным областям.  Есть одно сбитие силами ПВО, есть подозрение на прилёт в Одесской области. Информация уточняется. Запуск ракет из акватории Черного моря. Запуск ракет из акватории Черного моря. Сейчас и далее опасность обстрелов РСЗО и РК Искандер/Точка-У в восточных и центральных областях.  07:08 Повторно. Сейчас и далее опасность обстрелов РСЗО и РК Искандер/Точка-У в восточных областях."
2022-06-05,"Сейчас и далее опасность обстрелов РСЗО и РК Искандер/Точка-У в восточных областях.  Карта боёв в Северодонецке. Оценка контроля территории варьируется от 80 до 90%.  Сообщения, что 90% Северодонецка находятся под контролем ВСУ. Сухий ставок Херсонской области взят силами ВСУ в рамках контрнаступления. Пролёт ракеты в направлении Харькова со стороны Днепропетровской области.  37-я железнодорожная бригада рф пытается отремонтировать железнодорожный мост через реку Оскол в Купянске, который ранее подорвали силы ВСУ.  Взрывы в Одесской области. Взрывы в Киевской области. Суммарный залп за ночь — 24 ракеты. Одесская область есть одно сбитие и предварительно прилёт. Третий запуск. Тревоги на востоке и юге. Есть минимум одно сбитие. Пуск ракет бортом 94241 в 03:48  UPD. Вероятно это Ту-22м3.  Cообщения о том, что Северодонецк на 75% контролируется ВСУ.  Запись радиограммы. Взлёт 66666. Интересный позывной. 02:38 Запуск ракет по трём целям. Массовый вылет дальней авиации.  Борта 92961, 94240, 79901, 94231, 38046. Пока неизвестно что это за самолёты, часть может быть танкерами-дозаправщиками. Это также может быть учебный полёт.  Активность стратегической авиации рф. Вероятны тревоги по стране в течение следующих 2 часов."
